"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"4051a",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Bottle filter","","Latuice cabbage Cucumber",4,,"",,"","uuid:68f01b3f-116a-47d6-8b86-6cac4b5042fc",,-1,"4051a",0,"01_1276"
"4052a",0,,,,,"","","",3,"",3,"",3,"",,"",,"",,"","Small bottle water","Boil","Cucumber latuce water Lyly long been",4,,"",,"","uuid:5cf83550-d4c0-48f8-9945-9b27ef4764ac",,-1,"4052a",0,"01_1277"
"4053",0,,,,,"","","",3,"",3,"",3,"",,"",,"",,"","Small bottle water","Boil","Water Lyly latuce Cucumber morning glory",4,,"",,"","uuid:24579c08-39c6-4ea3-8bec-87e61d9fe294",,-1,"4053",0,"01_1278"
"4059a",0,,,,,"","Don't have open drains","",3,"",3,"",1,"",3,"",3,"",1,"","","Bottle water 500ml","Long been vegetables eggplant Cucumber",4,,"",,"","uuid:a3b44483-c1e1-4187-9e75-2b4fd79b86fc",,-1,"4059a",0,"01_1279"
"4060a",0,,,,,"","Don't have open drains","",3,"",2,"",3,"",3,"",2,"",3,"","","Bottle water boil","Eggplant Cucumber cabbage latuice",5,,"",,"","uuid:482a7eb6-84ee-462b-849d-351a3334b7af",,-1,"4060a",0,"01_1280"
"4061a",0,,,,,"","Don't have open drains","",2,"",3,"",3,"",2,"",3,"",3,"","Boil bottle water","","Cucumber latuice morning glory",5,,"",,"","uuid:c2c6cdd9-59b3-4d2b-84ba-47cda63d871b",,-1,"4061a",0,"01_1281"
"4062a",0,,,,,"","Don't have open drains","",2,"",3,"",3,"",2,"",3,"",3,"","Bottle water","","Cucumber latuice cabbage",5,,"",,"","uuid:e96a4d32-342e-47fd-9896-9884970e9ab8",,-1,"4062a",0,"01_1282"
"4063a",0,,,,,"","","Rainy season",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Cucumber latuice morning glory carrot cabbage",4,,"",,"","uuid:d5c09fca-5c2d-4e24-acc8-f947fe66f9e1",,-1,"4063a",0,"01_1283"
"4064a",0,,,,,"","Don't have open drains","Rainy season",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Cucumber morning glory Long Been",4,,"",,"","uuid:07b21db8-2fe4-450a-a8b8-21695ce5ed36",,-1,"4064a",0,"01_1284"
"4065a",0,,,,,"","Don't have open drains","Rainy season",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Latuce Cucumber long been eggplant",4,,"",,"","uuid:dba72f06-a4b2-4bb1-b10c-56706d2a77ad",,-1,"4065a",0,"01_1285"
