"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","col_ws_group","col_ws_container","col_ws_container_lid","col_b_group","col_b_source","col_b_source_other","col_b_container","col_b_container_lid","col_ww_group","col_ww_source","col_ww_source_other","col_ww_container","col_ww_container_lid","col_i_group","col_i_container","col_i_container_lid","meta.instanceID","X_parent_table_name","X_parent_index","col_p_type_ch","col_UID"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:10555572-d0e0-417e-b0ef-5f673567864a",,-1,"","01_06_1153"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:6d491627-32dc-4cea-8848-8a40627472da",,-1,"","01_06_1154"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:d7ce17f0-ab91-440c-8e65-832c69f21919",,-1,"","01_06_1155"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:26d8e765-c56f-47df-8b13-c18827ba4e77",,-1,"","01_06_1156"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:08ad1b15-0978-4f40-9e85-174445249ede",,-1,"","01_06_1157"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:7c5ab5d3-9c5f-4e1f-a7b4-68d634a9c31e",,-1,"","01_06_1158"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:0c4684a1-9593-4df9-a965-0a357f13e63f",,-1,"","01_06_1159"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:a1ea3629-7d76-4d4e-8cb5-f6377311e1e5",,-1,"","01_06_1160"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:3926baac-c9aa-49f0-9eea-b6e329b32e49",,-1,"","01_06_1161"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:7c200729-5bd8-470f-bf9d-2a29636bbadf",,-1,"","01_06_1162"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:998ead53-8e54-4d9d-aa1c-4b7be7b7dad9",,-1,"","01_06_1163"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:68a64afa-feeb-40c6-9b28-a06eed123957",,-1,"","01_06_1164"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:c5767f31-27ea-491d-aa0f-9281d19322a9",,-1,"","01_06_1165"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:039288c4-6c3d-480b-925b-807120b66ec1",,-1,"","01_06_1166"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:e3d2e13a-5033-460c-8dc8-851f0177aeb5",,-1,"","01_06_1167"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:0c9af87a-0ae6-4f5f-9f09-aebb28412514",,-1,"","01_06_1168"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:b17cba89-087f-418e-8aa0-94763857cc43",,-1,"","01_06_1169"
0,,,,,,,,,,"",,,,,,,,,1,1,"uuid:0f8be9b5-af36-4ded-9135-7b061ca97ed7",,-1,"","01_33_1170"
0,,,,,,,,,,"",,,,,,,,,1,1,"uuid:35e3da2f-6259-4478-9215-9904efcde175",,-1,"","01_33_1171"
0,,,,,,,,,,"",,,,,,,,,1,1,"uuid:b22f2fae-cfbe-4799-b73b-1436a15940b3",,-1,"","01_33_1172"
0,,,,,,,,,,"",,,,,,,,,1,1,"uuid:40ad320e-d48b-47d7-8057-1a8f2ddb8abd",,-1,"","01_33_1173"
0,,,,,,,,,,"",,,,,,,,,1,1,"uuid:6997e692-ede3-4e0f-8a30-a39719124844",,-1,"","01_33_1174"
0,,,,,,,,,,"",,,,,,,,,1,1,"uuid:30c5beff-1874-43c1-b604-996c4ce1e4b1",,-1,"","01_33_1175"
0,,,,,,,,,,"",,,,,,,,,1,1,"uuid:4dfd623c-62bc-4d5a-be20-d95f3be6034a",,-1,"","01_33_1176"
