"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Surface Water",5,208,"Hazaribagh","Adults","a",0.0152233577116881,0.194060460399476,215,6.38374358344899,1.14202314658961e-05,10,0.557,1126136.4687053,1126136.4687053,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 208 Adults","Dhaka 208",0.212686647462169
"Surface Water",5,208,"Hazaribagh","Children","c",0.0134444066351905,0.160940417974077,199,6.38374358344899,1.14202314658961e-05,10,0.508,6211104.28023096,6211104.28023096,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 208 Children","Dhaka 208",0.858442622010542
"Street Food",10,208,"Hazaribagh","Adults","a",0.0727759096307253,0.358277466262804,233,4.35232700817953,1.08539469298412,8,0.577,8140061.21254465,8140061.21254465,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 208 Adults","Dhaka 208",1.53736458905676
"Street Food",10,208,"Hazaribagh","Children","c",0.0768450469978486,0.74408982974502,218,4.35232700817953,1.08539469298412,8,0.855,6955322.61396729,6955322.61396729,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 208 Children","Dhaka 208",0.961301744790747
"Bathing Water",9,209,"Motijhil","Adults","a",0.34441800410966,5.55052009912289,108,1.70540986854612,1.14354242609584,10,0.998,6481.32760082165,6481.32760082165,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 209 Adults","Dhaka 209",2.42863089170442e-05
"Bathing Water",9,209,"Motijhil","Children","c",0.86666854030388,147.747510874035,101,1.70540986854612,1.14354242609584,10,1,17003.4141865183,17003.4141865183,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 209 Children","Dhaka 209",0.000653953206080282
"Open Drain Water",1,209,"Motijhil","Adults","a",0.0205903953709342,0.35741868562368,108,6.67840412393774,1.17768983401397,10,0.756,2777801.24124373,2777801.24124373,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 209 Adults","Dhaka 209",0.0104087531459514
"Open Drain Water",1,209,"Motijhil","Children","c",0.0108269660881791,0.289864997476963,101,6.67840412393774,1.17768983401397,10,0.71,69680831.1415895,69680831.1415895,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 209 Children","Dhaka 209",2.67993253752009
"Municipal Drinking Water",3,209,"Motijhil","Adults","a",0.00922504122742301,0.316048123860703,216,1.60914693697705,1.24548523281012,10,0.753,254179.614053022,254179.614053022,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 209 Adults","Dhaka 209",0.000952441383540647
"Municipal Drinking Water",3,209,"Motijhil","Children","c",0.0139662812263165,0.418765260010735,202,1.60914693697705,1.24548523281012,10,0.864,163118.243355263,163118.243355263,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 209 Children","Dhaka 209",0.0062735458327502
"Floodwater",6,209,"Motijhil","Adults","a",0.0475001177875656,0.490469414650831,215,5.8085076957677,0.876496599563202,10,0.765,97627.6632198363,97627.6632198363,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 209 Adults","Dhaka 209",0.000365822518754571
"Floodwater",6,209,"Motijhil","Children","c",0.0617926295429306,0.689048860733197,202,5.8085076957677,0.876496599563202,10,0.843,1899359.40002864,1899359.40002864,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 209 Children","Dhaka 209",0.0730495743691453
"Public Latrine",7,209,"Motijhil","Adults","a",0.00962707084077825,0.115066779781058,108,0.115037125917238,0.89006992826375,10,0.424,15.7537243710231,15.7537243710231,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 209 Adults","Dhaka 209",5.90310874920334e-08
"Public Latrine",7,209,"Motijhil","Children","c",0.0166489196787294,0.156747563196302,101,0.115037125917238,0.89006992826375,10,0.485,20.5180104833952,20.5180104833952,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 209 Children","Dhaka 209",7.89124971656803e-07
"Raw Produce",2,209,"Motijhil","Adults","a",0.129991142814393,1.24157868277164,108,2.95837084893902,1.57676278406501,8,0.913,5682323.75443562,5682323.75443562,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 209 Adults","Dhaka 209",0.0212923460387015
"Raw Produce",2,209,"Motijhil","Children","c",0.124500443190308,1.20238698580401,101,2.95837084893902,1.57676278406501,8,0.896,4536969.45662699,4536969.45662699,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 209 Children","Dhaka 209",0.174492351330357
